ID_Keluarga,Kecamatan,Kelurahan,Latitude,Longitude,Desil_Kesejahteraan,Z_Score_Balita,Jenis_Jamban,Pembuangan_Akhir,Sumber_Air_Minum,Kemiskinan_Ekstrem,Risiko_Stunting,Sanitasi_Buruk,Akses_Air_Minim
KK-BJM-001,Banjarmasin Tengah,Pekapuran Laut,-3.32145,114.59123,8,-2.59,Tidak Punya (BABS),Sungai/Danau,PDAM,0,1,1,0
KK-BJM-002,Banjarmasin Tengah,Pekapuran Laut,-3.32189,114.59188,8,0.05138888889,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-003,Banjarmasin Tengah,Pekapuran Laut,-3.3223,114.59045,3,-1.78,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-004,Banjarmasin Tengah,Pekapuran Laut,-3.32098,114.5921,1,-1.8,Cemplung/Plengsengan,Tanah Lapang,PDAM,1,0,1,0
KK-BJM-005,Banjarmasin Tengah,Pekapuran Laut,-3.32275,114.5915,5,-0.26,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-006,Banjarmasin Tengah,Pekapuran Laut,-3.32112,114.59301,8,-1.87,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-007,Banjarmasin Tengah,Pekapuran Laut,-3.32205,114.5898,8,-0.82,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-008,Banjarmasin Tengah,Pekapuran Laut,-3.3216,114.59012,5,-1.54,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-009,Banjarmasin Tengah,Pekapuran Laut,-3.3221,114.5925,3,1.25,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-010,Banjarmasin Tengah,Pekapuran Laut,-3.3213,114.5916,5,-2.25,Cemplung/Plengsengan,Tanah Lapang,Air Sungai,0,1,1,1
KK-BJM-011,Banjarmasin Tengah,Pekapuran Laut,-3.32192,114.5908,1,0.51,Kloset Leher Angsa,Septic Tank,PDAM,1,0,0,0
KK-BJM-012,Banjarmasin Tengah,Pekapuran Laut,-3.32241,114.59195,3,-3.87,Kloset Leher Angsa,Septic Tank,PDAM,0,1,0,0
KK-BJM-013,Banjarmasin Tengah,Pekapuran Laut,-3.32115,114.59025,1,-3.85,Tidak Punya (BABS),Sungai/Danau,Sumur Tidak Terlindung,1,1,1,1
KK-BJM-014,Banjarmasin Tengah,Pekapuran Laut,-3.3226,114.5923,3,-0.13,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-015,Banjarmasin Tengah,Pekapuran Laut,-3.32175,114.5911,8,-1.08,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,0,0,1
KK-BJM-016,Banjarmasin Tengah,Pekapuran Laut,-3.32222,114.5928,5,0.48,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
